Medicago_Gene_ID	Top_AT_Hit	E-value	Bit-score
Nycol.A00172.1.p	AT1G71692.1	3.03e-75	218.0
Nycol.A00432.1.p	AT5G20240.1	1.81e-76	222.0
Nycol.A01976.1.p	AT5G23260.4	1.43e-60	184.0
Nycol.A03014.1.p	AT4G18960.1	5.27e-99	281.0
Nycol.B01084.1.p	AT2G42830.2	1.07e-47	149.0
Nycol.C02244.1.p	AT3G57230.1	4.56e-95	270.0
Nycol.F00306.1.p	AT5G20240.1	3.75e-38	123.0
Nycol.F00318.1.p	AT5G20240.1	1.85e-24	88.6
Nycol.F00329.1.p	AT5G23260.4	1.1e-18	71.2
Nycol.F00337.1.p	AT5G20240.1	1.55e-27	96.7
Nycol.F00482.1.p	AT5G20240.1	1.55e-35	118.0
Nycol.G00190.1.p	AT1G71692.1	1.48e-68	201.0
Nycol.G00206.1.p	AT4G18960.1	2.35e-107	302.0
Nycol.H00296.1.p	AT3G02310.1	1.09e-110	311.0
Nycol.H00297.1.p	AT1G69120.1	1.62e-72	216.0
Nycol.H00870.1.p	AT2G22540.1	4.3e-86	249.0
Nycol.I00043.1.p	AT4G18960.1	2.96e-98	279.0
Nycol.I00993.1.p	AT4G37940.1	7.28e-86	247.0
Nycol.I01691.1.p	AT2G45650.1	3.08e-110	310.0
Nycol.I01697.1.p	AT2G45660.1	7.13e-81	233.0
Nycol.I01732.1.p	AT3G54340.1	3.42e-53	164.0
Nycol.M00404.1.p	AT5G13790.2	7.88e-68	203.0
