Species_Gene_ID,Homologous_Arabidopsis_Symbol,Top_Arabidopsis_Hit,E-value,Bit-score,%_Identity,Alignment_Length
Medtr0003s0590.1,AT5G13790.2,AGL15,4.55e-90,260,57.787,244
Medtr1g029670.1,AT5G20240.1,PI,6.47e-72,209,60.119,168
Medtr1g038300.1,AT5G23260.4,"TT16, ABS, AGL32",1.16e-66,199,53.804,184
Medtr1g053070.1,AT3G57390.1,AGL18,1.56e-65,197,47.674,258
Medtr1g101970.1,AT3G61120.1,AGL13,1.65e-57,174,50.276,181
Medtr2g009890.1,AT4G37940.1,AGL21,5.75e-100,285,62.719,228
Medtr2g017865.1,AT4G18960.1,AG,1.14e-122,342,68.379,253
Medtr3g005530.1,AT4G09960.4,"STK, AGL11",4.97e-118,332,73.617,235
Medtr3g084980.1,AT1G24260.2,"AGL9, SEP3",4.82e-127,353,75.403,248
Medtr3g088615.1,AT5G20240.1,PI,1.08e-77,223,64.671,167
Medtr3g102570.1,AT1G77980.1,AGL66,2.97e-54,173,41.453,234
Medtr3g113030.1,AT3G54340.1,"AP3, ATAP3",1.07e-96,275,56.897,232
Medtr3g452380.3,AT2G42830.2,"AGL5, SHP2",1.48e-119,334,69.478,249
Medtr4g036050.1,AT1G71692.1,"XAL1, AGL12",1.58e-82,237,60.377,212
Medtr4g084740.1,AT1G22130.1,AGL104,1.75e-105,305,52.812,320
Medtr4g093970.1,AT4G24540.1,AGL24,5.10e-61,184,49.321,221
Medtr4g102530.1,AT4G22950.1,"GL19, AGL19",1.22e-76,222,59.242,211
Medtr4g109810.1,AT2G03710.1,"SEP4, AGL3",1.71e-81,238,51.341,261
Medtr4g109830.1,AT5G60910.1,"FUL, AGL8",8.21e-107,301,64.730,241
Medtr5g021270.2,AT3G54340.1,"AP3, ATAP3",7.28e-67,199,47.727,220
Medtr5g031000.1,AT4G37940.1,AGL21,1.88e-98,279,59.916,237
Medtr5g032150.1,AT2G22540.1,"AGL22, FAQ1, SVP",5.70e-112,313,67.220,241
Medtr5g032520.1,AT2G22540.1,"AGL22, FAQ1, SVP",1.12e-115,323,70.954,241
Medtr5g041650.1,AT2G03060.2,AGL30,2.14e-102,301,46.770,387
Medtr5g046790.1,AT1G69120.1,"AP1, AtAP1, AGL7",1.37e-100,285,75.419,179
Medtr5g061740.1,AT1G22130.1,AGL104,1.75e-101,295,51.852,324
Medtr5g066180.1,AT2G22540.1,"AGL22, FAQ1, SVP",5.47e-75,219,49.372,239
Medtr6g015975.1,AT3G02310.1,"AGL4, SEP2",1.67e-136,377,73.333,255
Medtr6g464720.1,AT3G02310.1,"AGL4, SEP2",2.18e-56,173,52.023,173
Medtr7g016600.1,AT3G02310.1,"AGL4, SEP2",4.67e-133,368,73.228,254
Medtr7g016630.1,AT5G60910.1,"FUL, AGL8",1.97e-77,227,51.575,254
Medtr7g075850.1,AT2G45650.1,"AGL6, RSB1",6.70e-115,322,64.202,257
Medtr7g075870.1,AT2G45660.1,"AGL20, SOC1, ATSOC1",1.60e-92,263,66.667,213
Medtr8g033220.1,AT2G45660.1,"AGL20, SOC1, ATSOC1",5.69e-94,267,64.651,215
Medtr8g033250.1,AT2G45660.1,"AGL20, SOC1, ATSOC1",1.64e-94,268,64.651,215
Medtr8g033270.1,AT2G45650.1,"AGL6, RSB1",1.22e-115,324,66.797,256
Medtr8g066260.1,AT1G69120.1,"AP1, AtAP1, AGL7",3.62e-124,345,70.866,254
Medtr8g087860.1,AT4G18960.1,AG,1.52e-117,329,66.939,245
Medtr8g097090.1,AT1G24260.2,"AGL9, SEP3",4.22e-127,353,76.518,247
