Species_Gene_ID,Homologous_Arabidopsis_Symbol,Top_Arabidopsis_Hit,E-value,Bit-score,%_Identity,Alignment_Length
Glyma.01G020500.3.p,AT4G37940.1,AGL21,5.85e-90,257,58.436,243
Glyma.01G023500.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",1.01e-119,333,71.369,241
Glyma.01G064100.1.p,AT2G03710.1,"SEP4, AGL3",3.83e-91,262,55.000,260
Glyma.01G064200.1.p,AT1G69120.1,"AP1, AtAP1, AGL7",1.58e-113,319,63.281,256
Glyma.01G169600.1.p,AT3G54340.1,"AP3, ATAP3",1.62e-65,196,48.636,220
Glyma.02G041500.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",1.96e-119,332,70.954,241
Glyma.02G121500.1.p,AT5G15800.2,"AGL2, SEP1",4.00e-96,275,65.611,221
Glyma.02G121600.1.p,AT1G69120.1,"AP1, AtAP1, AGL7",1.57e-110,311,62.500,256
Glyma.02G185500.3.p,AT3G57390.1,AGL18,3.30e-70,209,50.584,257
Glyma.02G216600.13.p,AT3G57230.1,AGL16,7.69e-98,279,60.241,249
Glyma.02G287700.3.p,AT2G42830.2,"AGL5, SHP2",7.15e-119,332,71.193,243
Glyma.03G019300.1.p,AT2G45660.1,"AGL20, SOC1, ATSOC1",3.06e-81,235,77.707,157
Glyma.03G019400.1.p,AT2G45650.1,"AGL6, RSB1",8.37e-107,301,64.706,255
Glyma.04G027200.1.p,AT3G54340.1,"AP3, ATAP3",2.24e-95,271,55.411,231
Glyma.04G159300.1.p,AT5G60910.1,"FUL, AGL8",4.16e-118,330,68.313,243
Glyma.04G245500.2.p,AT5G20240.1,PI,2.00e-78,225,65.868,167
Glyma.04G257100.1.p,AT4G09960.4,"STK, AGL11",4.05e-118,332,73.191,235
Glyma.05G018800.1.p,AT5G60910.1,"FUL, AGL8",3.76e-101,287,63.052,249
Glyma.05G018900.1.p,AT2G03710.1,"SEP4, AGL3",2.38e-95,273,55.985,259
Glyma.05G050700.1.p,AT4G22950.1,"GL19, AGL19",7.61e-78,226,57.466,221
Glyma.05G148700.2.p,AT5G65060.1,"AGL70, FCL3, MAF3",2.01e-41,131,42.012,169
Glyma.05G148800.1.p,AT1G24260.2,"AGL9, SEP3",1.31e-133,369,78.138,247
Glyma.05G163200.1.p,AT4G18960.1,AG,1.03e-109,309,65.021,243
Glyma.06G027200.1.p,AT3G54340.1,"AP3, ATAP3",2.65e-94,268,54.978,231
Glyma.06G095700.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",7.53e-80,232,53.306,242
Glyma.06G117600.1.p,AT5G20240.1,PI,4.93e-77,222,64.671,167
Glyma.06G205800.1.p,AT5G60910.1,"FUL, AGL8",1.91e-117,328,67.901,243
Glyma.06G324400.2.p,AT4G09960.4,"STK, AGL11",5.14e-119,334,74.043,235
Glyma.07G080900.4.p,AT2G45660.1,"AGL20, SOC1, ATSOC1",9.97e-96,271,67.713,223
Glyma.07G081300.1.p,AT2G45650.1,"AGL6, RSB1",9.71e-108,304,64.706,255
Glyma.07G181600.7.p,AT2G22540.1,"AGL22, FAQ1, SVP",2.28e-70,208,49.160,238
Glyma.07G228900.1.p,AT2G03060.2,AGL30,9.61e-110,318,48.942,378
Glyma.08G065300.1.p,AT2G14210.2,"ANR1, AtANR1, AGL44",5.04e-78,228,55.794,233
Glyma.08G065400.2.p,AT4G37940.1,AGL21,1.03e-91,261,59.556,225
Glyma.08G068200.8.p,AT2G22540.1,"AGL22, FAQ1, SVP",6.11e-71,209,49.789,237
Glyma.08G105400.1.p,AT2G03710.1,"SEP4, AGL3",2.70e-40,130,46.061,165
Glyma.08G105500.1.p,AT1G24260.2,"AGL9, SEP3",6.30e-133,368,77.328,247
Glyma.08G120600.1.p,AT4G18960.1,AG,1.97e-110,311,65.844,243
Glyma.08G250700.1.p,AT3G02310.1,"AGL4, SEP2",1.41e-126,352,72.374,257
Glyma.08G250800.3.p,AT5G60910.1,"FUL, AGL8",1.64e-83,242,54.941,253
Glyma.08G269800.1.p,AT1G69120.1,"AP1, AtAP1, AGL7",1.52e-122,341,69.685,254
Glyma.08G310100.1.p,AT2G42830.2,"AGL5, SHP2",3.55e-118,330,69.323,251
Glyma.09G149000.1.p,AT2G45650.1,"AGL6, RSB1",6.39e-64,192,55.135,185
Glyma.09G201700.1.p,AT4G37940.1,AGL21,9.61e-91,259,59.322,236
Glyma.09G231600.4.p,AT1G71692.1,"XAL1, AGL12",2.08e-79,229,59.459,222
Glyma.09G266200.6.p,AT2G45660.1,"AGL20, SOC1, ATSOC1",5.07e-98,276,69.811,212
Glyma.09G266400.4.p,AT2G45650.1,"AGL6, RSB1",3.08e-85,247,54.902,255
Glyma.09G283800.3.p,AT5G23260.4,"TT16, ABS, AGL32",1.52e-70,210,47.266,256
Glyma.10G240500.1.p,AT5G62165.2,"AGL42, FYF",6.49e-76,220,53.917,217
Glyma.10G240900.1.p,AT1G24260.2,"AGL9, SEP3",1.11e-56,174,54.023,174
Glyma.11G073700.5.p,AT3G54340.1,"AP3, ATAP3",1.34e-65,196,46.721,244
Glyma.11G158812.1.p,AT5G13790.2,AGL15,7.21e-79,231,55.128,234
Glyma.11G252300.1.p,AT1G24260.2,"AGL9, SEP3",4.11e-127,353,74.797,246
Glyma.12G005000.1.p,AT1G71692.1,"XAL1, AGL12",1.96e-82,236,60.664,211
Glyma.13G034100.2.p,AT5G20240.1,PI,9.45e-87,248,60.287,209
Glyma.13G052100.1.p,AT5G60910.1,"FUL, AGL8",1.41e-80,234,53.815,249
Glyma.13G052700.1.p,AT3G02310.1,"AGL4, SEP2",3.26e-130,361,71.875,256
Glyma.13G086400.1.p,AT1G22130.1,AGL104,7.03e-120,342,58.387,310
Glyma.13G223300.1.p,AT4G18960.1,AG,2.24e-129,358,71.901,242
Glyma.13G255200.6.p,AT4G37940.1,AGL21,3.48e-97,276,60.515,233
Glyma.13G256900.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",8.21e-57,174,53.529,170
Glyma.13G257000.7.p,AT2G22540.1,"AGL22, FAQ1, SVP",1.31e-53,164,52.071,169
Glyma.14G027251.1.p,AT2G42830.2,"AGL5, SHP2",6.88e-121,337,71.849,238
Glyma.14G155100.1.p,AT5G20240.1,PI,1.03e-89,255,61.244,209
Glyma.14G168700.1.p,AT1G22130.1,AGL104,1.30e-123,352,57.055,326
Glyma.14G183800.2.p,AT3G57230.1,AGL16,2.77e-112,315,68.750,224
Glyma.15G057900.2.p,AT2G22540.1,"AGL22, FAQ1, SVP",1.88e-61,184,47.257,237
Glyma.15G058000.2.p,AT2G22540.1,"AGL22, FAQ1, SVP",1.81e-56,172,53.216,171
Glyma.15G059600.2.p,AT4G37940.1,AGL21,9.20e-100,283,62.500,232
Glyma.15G088600.1.p,AT4G18960.1,AG,1.46e-128,357,72.314,242
Glyma.16G091300.1.p,AT1G69120.1,"AP1, AtAP1, AGL7",4.57e-123,343,70.866,254
Glyma.16G200700.1.p,AT2G45650.1,"AGL6, RSB1",1.84e-62,189,55.056,178
Glyma.17G080900.1.p,AT2G03710.1,"SEP4, AGL3",5.98e-91,261,54.054,259
Glyma.17G081200.1.p,AT5G60910.1,"FUL, AGL8",1.56e-108,305,65.574,244
Glyma.17G132700.5.p,AT4G22950.1,"GL19, AGL19",3.98e-76,222,56.818,220
Glyma.18G004700.4.p,AT1G24260.2,"AGL9, SEP3",1.50e-128,357,75.610,246
Glyma.18G105800.1.p,AT2G42830.2,"AGL5, SHP2",1.19e-117,329,68.924,251
Glyma.18G224300.2.p,AT2G45650.1,"AGL6, RSB1",1.39e-79,233,54.789,261
Glyma.18G224500.1.p,AT2G45660.1,"AGL20, SOC1, ATSOC1",2.60e-98,277,66.667,216
Glyma.18G273500.1.p,AT3G02310.1,"AGL4, SEP2",1.93e-126,352,70.611,262
Glyma.18G273600.2.p,AT5G60910.1,"FUL, AGL8",1.32e-74,221,52.381,252
Glyma.19G034500.1.p,AT3G02310.1,"AGL4, SEP2",1.53e-129,359,72.656,256
Glyma.19G034600.1.p,AT5G60910.1,"FUL, AGL8",4.83e-80,233,53.629,248
Glyma.20G001900.1.p,AT5G23260.4,"TT16, ABS, AGL32",9.00e-69,206,44.706,255
Glyma.20G034000.3.p,AT2G03060.2,AGL30,1.74e-105,307,47.507,381
Glyma.20G153700.3.p,AT1G24260.2,"AGL9, SEP3",2.60e-56,173,53.488,172
Glyma.20G154200.3.p,AT5G62165.2,"AGL42, FYF",7.82e-76,220,53.456,217
