Medicago_Gene_ID	Top_AT_Hit	E-value	Bit-score
Prupe.1G223600.1.p	AT1G24260.2	2.77e-130	361.0
Prupe.1G276600.1.p	AT2G03060.2	2.33e-125	358.0
Prupe.1G290500.1.p	AT3G02310.1	2.73e-89	257.0
Prupe.1G290600.1.p	AT1G69120.1	1.91e-118	331.0
Prupe.1G371300.1.p	AT3G54340.1	2.23e-81	234.0
Prupe.1G427500.1.p	AT1G22130.1	9.86e-47	153.0
Prupe.1G489400.1.p	AT5G20240.1	3.47e-92	261.0
Prupe.1G511300.1.p	AT1G22130.1	1.75e-136	385.0
Prupe.1G531100.1.p	AT2G22540.1	1.06e-69	211.0
Prupe.1G531400.1.p	AT2G22540.1	6.13e-66	197.0
Prupe.1G531600.1.p	AT2G22540.1	5.81e-67	199.0
Prupe.1G531700.1.p	AT2G22540.1	3.43e-69	205.0
Prupe.1G548000.1.p	AT1G71692.1	1.06e-82	237.0
Prupe.1G549600.1.p	AT4G09960.4	9.43e-117	329.0
Prupe.2G023100.1.p	AT5G13790.2	7.49e-94	270.0
Prupe.2G151000.1.p	AT2G45650.1	2.73e-115	323.0
Prupe.2G151200.1.p	AT2G45660.1	3.44e-99	280.0
Prupe.2G287000.1.p	AT2G45650.1	9.12e-71	210.0
Prupe.2G287500.1.p	AT5G62165.2	3.83e-84	241.0
Prupe.3G170600.1.p	AT2G42830.2	5.84e-118	330.0
Prupe.3G249300.1.p	AT1G69120.1	7.88e-87	254.0
Prupe.3G249400.1.p	AT3G02310.1	1.86e-132	367.0
Prupe.3G307800.1.p	AT1G26310.1	2.64e-40	132.0
Prupe.4G070500.1.p	AT4G18960.1	2.04e-127	354.0
Prupe.4G113500.1.p	AT5G23260.4	1.82e-57	178.0
Prupe.5G087500.1.p	AT4G22950.1	1.55e-81	235.0
Prupe.5G149400.1.p	AT4G22950.1	1.16e-46	146.0
Prupe.5G208400.1.p	AT3G02310.1	5.88e-107	302.0
Prupe.5G208500.1.p	AT5G60910.1	1.41e-106	301.0
Prupe.6G199000.1.p	AT2G22540.1	4.87e-111	311.0
Prupe.6G208900.1.p	AT4G37940.1	2.93e-94	268.0
Prupe.7G055900.1.p	AT3G57390.1	3.45e-60	183.0
Prupe.7G164100.1.p	AT3G54340.1	2.65e-74	218.0
Prupe.8G069300.1.p	AT2G22540.1	4.61e-75	220.0
Prupe.8G073700.1.p	AT2G14210.2	1.07e-100	285.0
