Medicago_Gene_ID	Top_AT_Hit	E-value	Bit-score
Medtr0003s0590.1	AT5G13790.2	4.55e-90	260.0
Medtr1g029670.1	AT5G20240.1	6.47e-72	209.0
Medtr1g038300.1	AT5G23260.4	1.16e-66	199.0
Medtr1g053070.1	AT3G57390.1	1.56e-65	197.0
Medtr1g101970.1	AT3G61120.1	1.65e-57	174.0
Medtr2g009890.1	AT4G37940.1	5.75e-100	285.0
Medtr2g017865.1	AT4G18960.1	1.14e-122	342.0
Medtr3g005530.1	AT4G09960.4	4.97e-118	332.0
Medtr3g084980.1	AT1G24260.2	4.82e-127	353.0
Medtr3g088615.1	AT5G20240.1	1.08e-77	223.0
Medtr3g102570.1	AT1G77980.1	2.97e-54	173.0
Medtr3g113030.1	AT3G54340.1	1.07e-96	275.0
Medtr3g452380.3	AT2G42830.2	1.48e-119	334.0
Medtr4g036050.1	AT1G71692.1	1.58e-82	237.0
Medtr4g084740.1	AT1G22130.1	1.75e-105	305.0
Medtr4g093970.1	AT4G24540.1	5.1e-61	184.0
Medtr4g102530.1	AT4G22950.1	1.22e-76	222.0
Medtr4g109810.1	AT2G03710.1	1.71e-81	238.0
Medtr4g109830.1	AT5G60910.1	8.21e-107	301.0
Medtr5g021270.2	AT3G54340.1	7.28e-67	199.0
Medtr5g031000.1	AT4G37940.1	1.88e-98	279.0
Medtr5g032150.1	AT2G22540.1	5.7e-112	313.0
Medtr5g032520.1	AT2G22540.1	1.12e-115	323.0
Medtr5g041650.1	AT2G03060.2	2.14e-102	301.0
Medtr5g046790.1	AT1G69120.1	1.37e-100	285.0
Medtr5g061740.1	AT1G22130.1	1.75e-101	295.0
Medtr5g066180.1	AT2G22540.1	5.47e-75	219.0
Medtr6g015975.1	AT3G02310.1	1.67e-136	377.0
Medtr6g464720.1	AT3G02310.1	2.18e-56	173.0
Medtr7g016600.1	AT3G02310.1	4.67e-133	368.0
Medtr7g016630.1	AT5G60910.1	1.97e-77	227.0
Medtr7g075850.1	AT2G45650.1	6.7e-115	322.0
Medtr7g075870.1	AT2G45660.1	1.6e-92	263.0
Medtr8g033220.1	AT2G45660.1	5.69e-94	267.0
Medtr8g033250.1	AT2G45660.1	1.64e-94	268.0
Medtr8g033270.1	AT2G45650.1	1.22e-115	324.0
Medtr8g066260.1	AT1G69120.1	3.62e-124	345.0
Medtr8g087860.1	AT4G18960.1	1.52e-117	329.0
Medtr8g097090.1	AT1G24260.2	4.22e-127	353.0
