Species_Gene_ID,Homologous_Arabidopsis_Symbol,Top_Arabidopsis_Hit,E-value,Bit-score,%_Identity,Alignment_Length
HanXRQChr00c0029g0571181,AT1G24260.2,"AGL9, SEP3",7.10e-93,266,58.498,253
HanXRQChr01g0007431,AT4G18960.1,AG,3.09e-115,325,68.800,250
HanXRQChr01g0015681,AT5G13790.2,AGL15,2.75e-58,179,42.259,239
HanXRQChr02g0040221,AT5G20240.1,PI,5.67e-79,227,56.436,202
HanXRQChr02g0042981,AT3G02310.1,"AGL4, SEP2",5.88e-95,271,56.471,255
HanXRQChr02g0043891,AT1G69120.1,"AP1, AtAP1, AGL7",1.66e-92,266,72.316,177
HanXRQChr02g0045511,AT5G20240.1,PI,1.02e-84,242,58.416,202
HanXRQChr03g0091451,AT1G22130.1,AGL104,2.25e-67,207,40.729,329
HanXRQChr04g0110101,AT5G60910.1,"FUL, AGL8",1.06e-89,258,57.676,241
HanXRQChr04g0122131,AT2G45660.1,"AGL20, SOC1, ATSOC1",3.12e-87,249,65.094,212
HanXRQChr05g0147261,AT4G18960.1,AG,4.69e-115,323,66.926,257
HanXRQChr05g0149341,AT5G23260.4,"TT16, ABS, AGL32",1.31e-72,216,48.846,260
HanXRQChr05g0150571,AT1G22130.1,AGL104,1.26e-50,164,44.545,220
HanXRQChr05g0150661,AT4G09960.4,"STK, AGL11",8.56e-75,222,64.045,178
HanXRQChr05g0151331,AT3G54340.1,"AP3, ATAP3",2.68e-92,264,55.508,236
HanXRQChr05g0154261,AT5G60910.1,"FUL, AGL8",2.92e-87,251,56.667,240
HanXRQChr05g0156101,AT1G18750.3,AGL65,5.88e-94,282,52.281,285
HanXRQChr05g0163381,AT2G22540.1,"AGL22, FAQ1, SVP",1.30e-83,245,56.327,245
HanXRQChr05g0163521,AT3G57230.1,AGL16,4.82e-103,291,64.732,224
HanXRQChr06g0169281,AT2G45660.1,"AGL20, SOC1, ATSOC1",1.42e-77,224,59.135,208
HanXRQChr06g0174721,AT1G24260.2,"AGL9, SEP3",1.96e-117,328,70.445,247
HanXRQChr07g0200001,AT5G60910.1,"FUL, AGL8",4.28e-93,266,58.051,236
HanXRQChr07g0200321,AT3G02310.1,"AGL4, SEP2",8.12e-108,305,59.770,261
HanXRQChr08g0223671,AT2G03710.1,"SEP4, AGL3",4.39e-76,221,67.516,157
HanXRQChr08g0223681,AT1G69120.1,"AP1, AtAP1, AGL7",8.64e-107,302,59.542,262
HanXRQChr09g0262151,AT4G37940.1,AGL21,5.65e-81,233,57.009,214
HanXRQChr09g0265001,AT3G02310.1,"AGL4, SEP2",1.14e-107,304,62.162,259
HanXRQChr09g0266391,AT4G09960.4,"STK, AGL11",7.35e-96,278,62.288,236
HanXRQChr09g0267081,AT1G71692.1,"XAL1, AGL12",1.82e-74,216,56.604,212
HanXRQChr09g0269421,AT3G54340.1,"AP3, ATAP3",3.45e-90,258,55.128,234
HanXRQChr09g0270311,AT5G60910.1,"FUL, AGL8",1.48e-79,234,54.694,245
HanXRQChr09g0270841,AT2G22540.1,"AGL22, FAQ1, SVP",3.06e-65,195,48.163,245
HanXRQChr09g0273361,AT1G26310.1,"CAL1, AGL10, CAL",5.47e-46,145,46.591,176
HanXRQChr10g0291191,AT4G37940.1,AGL21,7.69e-92,262,62.037,216
HanXRQChr10g0299591,AT3G57390.1,AGL18,1.16e-49,157,46.629,178
HanXRQChr12g0358711,AT2G45650.1,"AGL6, RSB1",1.12e-104,296,62.403,258
HanXRQChr12g0358721,AT2G45660.1,"AGL20, SOC1, ATSOC1",4.52e-71,208,54.245,212
HanXRQChr12g0358781,AT5G20240.1,PI,8.24e-88,250,58.911,202
HanXRQChr12g0361321,AT1G24260.2,"AGL9, SEP3",2.89e-118,331,72.177,248
HanXRQChr12g0364981,AT1G69120.1,"AP1, AtAP1, AGL7",1.48e-104,296,58.868,265
HanXRQChr12g0375471,AT5G65050.3,"MAF2, AGL31",4.27e-41,131,45.251,179
HanXRQChr13g0405061,AT2G22540.1,"AGL22, FAQ1, SVP",3.83e-106,299,63.485,241
HanXRQChr14g0452461,AT5G60910.1,"FUL, AGL8",8.66e-94,268,56.780,236
HanXRQChr15g0474011,AT4G37940.1,AGL21,3.09e-67,196,67.376,141
HanXRQChr15g0483111,AT1G22130.1,AGL104,4.69e-48,156,41.964,224
HanXRQChr15g0484901,AT2G22540.1,"AGL22, FAQ1, SVP",4.17e-83,241,56.432,241
HanXRQChr15g0489071,AT3G02310.1,"AGL4, SEP2",1.11e-105,299,61.390,259
HanXRQChr15g0495861,AT2G22540.1,"AGL22, FAQ1, SVP",6.64e-90,258,57.806,237
HanXRQChr16g0501381,AT3G54340.1,"AP3, ATAP3",2.81e-89,256,53.846,234
HanXRQChr16g0501741,AT3G54340.1,"AP3, ATAP3",2.81e-89,256,53.846,234
HanXRQChr16g0503081,AT2G22540.1,"AGL22, FAQ1, SVP",1.27e-60,183,44.813,241
HanXRQChr16g0507561,AT5G60910.1,"FUL, AGL8",3.59e-86,248,56.250,240
HanXRQChr16g0519321,AT4G18960.1,AG,2.63e-123,343,73.279,247
HanXRQChr16g0523531,AT2G45660.1,"AGL20, SOC1, ATSOC1",2.60e-80,232,62.559,211
HanXRQChr16g0530971,AT3G54340.1,"AP3, ATAP3",6.17e-70,206,50.439,228
