Medicago_Gene_ID	Top_AT_Hit	E-value	Bit-score
XP_010240899.1	AT3G54340.1	7.84e-75	219.0
XP_010244698.1	AT4G37940.1	7.6e-111	311.0
XP_010244699.1	AT4G37940.1	8.81e-111	310.0
XP_010244700.1	AT4G37940.1	1.72e-102	289.0
XP_010245525.1	AT1G71692.1	1.63e-70	206.0
XP_010249055.1	AT2G45650.1	9.05e-50	155.0
XP_010249056.1	AT2G42830.2	1.92e-48	151.0
XP_010249057.1	AT2G45650.1	1.24e-50	157.0
XP_010250667.1	AT1G24260.2	3.95e-118	330.0
XP_010254524.1	AT2G22540.1	2.87e-119	332.0
XP_010254525.1	AT2G22540.1	7.04e-119	331.0
XP_010254615.1	AT3G57230.1	2.63e-110	310.0
XP_010254616.1	AT3G57230.1	2.14e-110	310.0
XP_010254617.1	AT3G57230.1	1.91e-100	284.0
XP_010255589.1	AT2G45660.1	6.11e-90	256.0
XP_010255590.1	AT2G45660.1	6.11e-90	256.0
XP_010255596.1	AT2G45650.1	1.46e-108	306.0
XP_010257792.1	AT2G03060.2	1.62e-96	284.0
XP_010257957.1	AT1G69120.1	7.6e-105	297.0
XP_010257958.1	AT3G02310.1	1.05e-117	329.0
XP_010258314.1	AT1G18750.3	1.42e-103	304.0
XP_010258315.1	AT1G18750.3	4.22e-104	305.0
XP_010258316.1	AT1G18750.3	5.92e-91	266.0
XP_010260833.1	AT3G02310.1	3.95e-118	330.0
XP_010260844.1	AT1G69120.1	2.17e-104	296.0
XP_010263856.1	AT3G54340.1	1.68e-84	243.0
XP_010269077.1	AT5G20240.1	2.03e-84	242.0
XP_010269101.1	AT1G22130.1	6.69e-104	305.0
XP_010269745.1	AT5G13790.2	1.06e-77	229.0
XP_010271509.1	AT3G54340.1	3.57e-81	235.0
XP_010272601.1	AT2G45660.1	1.45e-90	258.0
XP_010272608.1	AT2G45650.1	2.76e-114	320.0
XP_010272685.1	AT4G18960.1	1.31e-118	330.0
XP_010273432.1	AT4G18960.1	3.4e-122	340.0
XP_010273433.1	AT4G18960.1	3.4e-122	340.0
XP_010274370.1	AT1G22130.1	7.55e-45	148.0
XP_010275495.1	AT5G23260.4	6.61e-76	224.0
XP_010277487.1	AT2G22540.1	4.15e-118	329.0
XP_010277488.1	AT2G22540.1	4.15e-118	329.0
XP_010277489.1	AT2G22540.1	6.51e-119	331.0
XP_010279516.1	AT5G13790.2	7.58e-76	224.0
XP_019051694.1	AT4G37940.1	7.6e-111	311.0
XP_019053529.1	AT5G23260.4	6.82e-73	216.0
XP_019053922.1	AT3G02310.1	3.95e-118	330.0
XP_019055004.1	AT3G54340.1	1.31e-63	188.0
XP_019056050.1	AT5G13790.2	7.58e-76	224.0
XP_019056051.1	AT5G13790.2	1.79e-64	194.0
