Species_Gene_ID,Homologous_Arabidopsis_Symbol,Top_Arabidopsis_Hit,E-value,Bit-score,%_Identity,Alignment_Length
XP_010240899.1,AT3G54340.1,"AP3, ATAP3",7.84e-75,219,51.739,230
XP_010244698.1,AT4G37940.1,AGL21,7.60e-111,311,68.559,229
XP_010244699.1,AT4G37940.1,AGL21,8.81e-111,310,68.559,229
XP_010244700.1,AT4G37940.1,AGL21,1.72e-102,289,65.502,229
XP_010245525.1,AT1G71692.1,"XAL1, AGL12",1.63e-70,206,55.924,211
XP_010249055.1,AT2G45650.1,"AGL6, RSB1",9.05e-50,155,46.328,177
XP_010249056.1,AT2G42830.2,"AGL5, SHP2",1.92e-48,151,45.714,175
XP_010249057.1,AT2G45650.1,"AGL6, RSB1",1.24e-50,157,42.365,203
XP_010250667.1,AT1G24260.2,"AGL9, SEP3",3.95e-118,330,72.358,246
XP_010254524.1,AT2G22540.1,"AGL22, FAQ1, SVP",2.87e-119,332,70.588,238
XP_010254525.1,AT2G22540.1,"AGL22, FAQ1, SVP",7.04e-119,331,69.748,238
XP_010254615.1,AT3G57230.1,AGL16,2.63e-110,310,64.957,234
XP_010254616.1,AT3G57230.1,AGL16,2.14e-110,310,64.957,234
XP_010254617.1,AT3G57230.1,AGL16,1.91e-100,284,61.966,234
XP_010255589.1,AT2G45660.1,"AGL20, SOC1, ATSOC1",6.11e-90,256,68.900,209
XP_010255590.1,AT2G45660.1,"AGL20, SOC1, ATSOC1",6.11e-90,256,68.900,209
XP_010255596.1,AT2G45650.1,"AGL6, RSB1",1.46e-108,306,62.451,253
XP_010257792.1,AT2G03060.2,AGL30,1.62e-96,284,51.812,276
XP_010257957.1,AT1G69120.1,"AP1, AtAP1, AGL7",7.60e-105,297,69.264,231
XP_010257958.1,AT3G02310.1,"AGL4, SEP2",1.05e-117,329,68.400,250
XP_010258314.1,AT1G18750.3,AGL65,1.42e-103,304,50.867,346
XP_010258315.1,AT1G18750.3,AGL65,4.22e-104,305,50.867,346
XP_010258316.1,AT1G18750.3,AGL65,5.92e-91,266,55.556,261
XP_010260833.1,AT3G02310.1,"AGL4, SEP2",3.95e-118,330,68.400,250
XP_010260844.1,AT1G69120.1,"AP1, AtAP1, AGL7",2.17e-104,296,67.401,227
XP_010263856.1,AT3G54340.1,"AP3, ATAP3",1.68e-84,243,57.692,208
XP_010269077.1,AT5G20240.1,PI,2.03e-84,242,58.852,209
XP_010269101.1,AT1G22130.1,AGL104,6.69e-104,305,51.312,343
XP_010269745.1,AT5G13790.2,AGL15,1.06e-77,229,49.615,260
XP_010271509.1,AT3G54340.1,"AP3, ATAP3",3.57e-81,235,55.769,208
XP_010272601.1,AT2G45660.1,"AGL20, SOC1, ATSOC1",1.45e-90,258,66.190,210
XP_010272608.1,AT2G45650.1,"AGL6, RSB1",2.76e-114,320,65.613,253
XP_010272685.1,AT4G18960.1,AG,1.31e-118,330,72.650,234
XP_010273432.1,AT4G18960.1,AG,3.40e-122,340,73.077,234
XP_010273433.1,AT4G18960.1,AG,3.40e-122,340,73.077,234
XP_010274370.1,AT1G22130.1,AGL104,7.55e-45,148,43.979,191
XP_010275495.1,AT5G23260.4,"TT16, ABS, AGL32",6.61e-76,224,50.000,244
XP_010277487.1,AT2G22540.1,"AGL22, FAQ1, SVP",4.15e-118,329,72.269,238
XP_010277488.1,AT2G22540.1,"AGL22, FAQ1, SVP",4.15e-118,329,72.269,238
XP_010277489.1,AT2G22540.1,"AGL22, FAQ1, SVP",6.51e-119,331,71.008,238
XP_010279516.1,AT5G13790.2,AGL15,7.58e-76,224,50.397,252
XP_019051694.1,AT4G37940.1,AGL21,7.60e-111,311,68.559,229
XP_019053529.1,AT5G23260.4,"TT16, ABS, AGL32",6.82e-73,216,50.410,244
XP_019053922.1,AT3G02310.1,"AGL4, SEP2",3.95e-118,330,68.400,250
XP_019055004.1,AT3G54340.1,"AP3, ATAP3",1.31e-63,188,55.814,172
XP_019056050.1,AT5G13790.2,AGL15,7.58e-76,224,50.397,252
XP_019056051.1,AT5G13790.2,AGL15,1.79e-64,194,46.032,252
