Medicago_Gene_ID	Top_AT_Hit	E-value	Bit-score
CKAN_00109600	AT3G02310.1	4.36e-97	277.0
CKAN_00283400	AT1G24260.2	3.54e-117	327.0
CKAN_00565900	AT5G60910.1	6.75e-61	184.0
CKAN_00566000	AT3G02310.1	3.83e-86	249.0
CKAN_00861800	AT1G24260.2	1.26e-63	193.0
CKAN_00958800	AT2G45660.1	9.37e-81	233.0
CKAN_00958900	AT2G45650.1	6.91e-99	281.0
CKAN_01046400	AT3G54340.1	7.75e-74	217.0
CKAN_01065400	AT5G23260.4	2.23e-51	160.0
CKAN_01187700	AT4G37940.1	1.11e-58	177.0
CKAN_01290200	AT2G22540.1	4.84e-92	263.0
CKAN_01352300	AT1G71692.1	4.04e-69	202.0
CKAN_01533600	AT4G18960.1	7.42e-105	301.0
CKAN_01596700	AT5G60910.1	1.36e-47	149.0
CKAN_01821800	AT4G18960.1	6.34e-114	320.0
CKAN_01848800	AT2G45650.1	6.66e-111	312.0
CKAN_01894500	AT1G22130.1	7.53e-106	306.0
CKAN_01906900	AT2G22540.1	1.55e-69	204.0
CKAN_01942000	AT1G71692.1	2.48e-57	170.0
CKAN_01942500	AT4G18960.1	1.68e-106	300.0
CKAN_02109000	AT5G20240.1	6.53e-85	243.0
CKAN_02117700	AT5G13790.2	9.73e-75	219.0
CKAN_02189300	AT4G09960.4	1.4e-106	303.0
CKAN_02189500	AT1G71692.1	3.73e-54	165.0
CKAN_02189800	AT1G71692.1	6.86e-54	164.0
CKAN_02197200	AT5G48670.1	5.66e-51	167.0
CKAN_02199500	AT5G20240.1	2.71e-86	246.0
CKAN_02317200	AT2G03060.2	4.25e-105	306.0
CKAN_02447300	AT5G48670.1	1.54e-48	155.0
CKAN_02562300	AT4G18960.1	1.44e-110	310.0
CKAN_02742500	AT5G60910.1	4.52e-34	114.0
