Species_Gene_ID,Homologous_Arabidopsis_Symbol,Top_Arabidopsis_Hit,E-value,Bit-score,%_Identity,Alignment_Length
LOC_Os01g10504.1,AT4G18960.1,AG,2.20e-104,297,62.343,239
LOC_Os01g52680.1,AT5G60910.1,"FUL, AGL8",7.95e-33,110,37.791,172
LOC_Os01g66030.1,AT5G20240.1,PI,1.22e-75,219,53.140,207
LOC_Os01g66290.1,AT4G18960.1,AG,1.45e-94,271,56.809,257
LOC_Os02g01355.1,AT2G45660.1,"AGL20, SOC1, ATSOC1",1.08e-64,194,48.684,228
LOC_Os02g01365.1,AT2G45660.1,"AGL20, SOC1, ATSOC1",1.23e-60,191,54.054,185
LOC_Os02g07430.1,AT5G23260.4,"TT16, ABS, AGL32",8.58e-53,165,40.711,253
LOC_Os02g36924.1,AT3G57230.1,AGL16,2.63e-103,292,61.538,234
LOC_Os02g45770.1,AT2G45650.1,"AGL6, RSB1",2.02e-102,291,60.938,256
LOC_Os02g49840.1,AT3G57230.1,AGL16,7.51e-90,258,57.328,232
LOC_Os02g52340.1,AT2G22540.1,"AGL22, FAQ1, SVP",2.58e-80,233,53.719,242
LOC_Os03g08754.1,AT2G22540.1,"AGL22, FAQ1, SVP",3.35e-81,236,55.128,234
LOC_Os03g11614.1,AT3G02310.1,"AGL4, SEP2",1.11e-79,233,52.852,263
LOC_Os03g54160.1,AT1G69120.1,"AP1, AtAP1, AGL7",1.45e-89,258,71.345,171
LOC_Os03g54170.1,AT3G02310.1,"AGL4, SEP2",8.23e-77,225,51.793,251
LOC_Os04g23910.1,AT3G57230.1,AGL16,4.68e-81,235,60.000,190
LOC_Os04g31804.1,AT3G30260.1,AGL79,3.65e-20,79.0,34.194,155
LOC_Os04g49150.1,AT2G45650.1,"AGL6, RSB1",1.73e-93,268,57.308,260
LOC_Os04g52410.2,AT5G23260.4,"TT16, ABS, AGL32",2.31e-45,145,46.061,165
LOC_Os05g11380.1,AT4G18960.1,AG,9.63e-58,173,72.650,117
LOC_Os05g11414.1,AT4G18960.1,AG,3.91e-95,274,63.426,216
LOC_Os05g34940.1,AT5G20240.1,PI,2.85e-73,214,50.467,214
LOC_Os06g01890.1,AT2G45660.1,"AGL20, SOC1, ATSOC1",5.64e-50,154,43.316,187
LOC_Os06g06750.1,AT1G24260.2,"AGL9, SEP3",2.30e-77,226,54.936,233
LOC_Os06g11330.1,AT2G22540.1,"AGL22, FAQ1, SVP",1.29e-69,205,50.424,236
LOC_Os06g45650.1,AT5G23260.4,"TT16, ABS, AGL32",4.07e-45,144,48.235,170
LOC_Os06g49840.1,AT3G54340.1,"AP3, ATAP3",6.18e-67,199,55.208,192
LOC_Os07g01820.1,AT1G69120.1,"AP1, AtAP1, AGL7",3.03e-79,234,58.095,210
LOC_Os07g41370.1,AT5G60910.1,"FUL, AGL8",7.19e-84,243,51.200,250
LOC_Os08g02070.1,AT1G71692.1,"XAL1, AGL12",3.38e-64,191,51.456,206
LOC_Os08g33488.1,AT4G37940.1,AGL21,1.86e-74,215,64.516,155
LOC_Os08g41950.1,AT1G24260.2,"AGL9, SEP3",5.42e-86,251,50.508,295
LOC_Os08g41960.1,AT2G03710.1,"SEP4, AGL3",3.05e-31,106,41.290,155
LOC_Os09g32948.1,AT1G24260.2,"AGL9, SEP3",2.60e-94,270,60.714,252
LOC_Os10g39130.1,AT4G22950.1,"GL19, AGL19",2.74e-70,207,50.885,226
LOC_Os11g43740.1,AT1G18750.3,AGL65,2.86e-83,253,42.042,333
LOC_Os12g10520.1,AT1G71692.1,"XAL1, AGL12",5.92e-62,184,48.858,219
LOC_Os12g10540.3,AT4G18960.1,AG,7.13e-87,252,61.927,218
LOC_Os12g31748.2,AT5G60910.1,"FUL, AGL8",2.56e-67,201,45.455,253
