Medicago_Gene_ID	Top_AT_Hit	E-value	Bit-score
Glyma.01G020500.3.p	AT4G37940.1	5.85e-90	257.0
Glyma.01G023500.1.p	AT2G22540.1	1.01e-119	333.0
Glyma.01G064100.1.p	AT2G03710.1	3.83e-91	262.0
Glyma.01G064200.1.p	AT1G69120.1	1.58e-113	319.0
Glyma.01G169600.1.p	AT3G54340.1	1.62e-65	196.0
Glyma.02G041500.1.p	AT2G22540.1	1.96e-119	332.0
Glyma.02G121500.1.p	AT5G15800.2	4e-96	275.0
Glyma.02G121600.1.p	AT1G69120.1	1.57e-110	311.0
Glyma.02G185500.3.p	AT3G57390.1	3.3e-70	209.0
Glyma.02G216600.13.p	AT3G57230.1	7.69e-98	279.0
Glyma.02G287700.3.p	AT2G42830.2	7.15e-119	332.0
Glyma.03G019300.1.p	AT2G45660.1	3.06e-81	235.0
Glyma.03G019400.1.p	AT2G45650.1	8.37e-107	301.0
Glyma.04G027200.1.p	AT3G54340.1	2.24e-95	271.0
Glyma.04G159300.1.p	AT5G60910.1	4.16e-118	330.0
Glyma.04G245500.2.p	AT5G20240.1	2e-78	225.0
Glyma.04G257100.1.p	AT4G09960.4	4.05e-118	332.0
Glyma.05G018800.1.p	AT5G60910.1	3.76e-101	287.0
Glyma.05G018900.1.p	AT2G03710.1	2.38e-95	273.0
Glyma.05G050700.1.p	AT4G22950.1	7.61e-78	226.0
Glyma.05G148700.2.p	AT5G65060.1	2.01e-41	131.0
Glyma.05G148800.1.p	AT1G24260.2	1.31e-133	369.0
Glyma.05G163200.1.p	AT4G18960.1	1.03e-109	309.0
Glyma.06G027200.1.p	AT3G54340.1	2.65e-94	268.0
Glyma.06G095700.1.p	AT2G22540.1	7.53e-80	232.0
Glyma.06G117600.1.p	AT5G20240.1	4.93e-77	222.0
Glyma.06G205800.1.p	AT5G60910.1	1.91e-117	328.0
Glyma.06G324400.2.p	AT4G09960.4	5.14e-119	334.0
Glyma.07G080900.4.p	AT2G45660.1	9.97e-96	271.0
