Species_Gene_ID,Homologous_Arabidopsis_Symbol,Top_Arabidopsis_Hit,E-value,Bit-score,%_Identity,Alignment_Length
Nycol.A00172.1.p,AT1G71692.1,"XAL1, AGL12",3.03e-75,218,58.216,213
Nycol.A00432.1.p,AT5G20240.1,PI,1.81e-76,222,52.752,218
Nycol.A01976.1.p,AT5G23260.4,"TT16, ABS, AGL32",1.43e-60,184,53.371,178
Nycol.A03014.1.p,AT4G18960.1,AG,5.27e-99,281,62.917,240
Nycol.B01084.1.p,AT2G42830.2,"AGL5, SHP2",1.07e-47,149,45.143,175
Nycol.C02244.1.p,AT3G57230.1,AGL16,4.56e-95,270,58.369,233
Nycol.F00306.1.p,AT5G20240.1,PI,3.75e-38,123,34.021,194
Nycol.F00318.1.p,AT5G20240.1,PI,1.85e-24,88.6,28.495,186
Nycol.F00329.1.p,AT5G23260.4,"TT16, ABS, AGL32",1.10e-18,71.2,33.333,105
Nycol.F00337.1.p,AT5G20240.1,PI,1.55e-27,96.7,32.308,195
Nycol.F00482.1.p,AT5G20240.1,PI,1.55e-35,118,37.267,161
Nycol.G00190.1.p,AT1G71692.1,"XAL1, AGL12",1.48e-68,201,57.547,212
Nycol.G00206.1.p,AT4G18960.1,AG,2.35e-107,302,67.521,234
Nycol.H00296.1.p,AT3G02310.1,"AGL4, SEP2",1.09e-110,311,65.613,253
Nycol.H00297.1.p,AT1G69120.1,"AP1, AtAP1, AGL7",1.62e-72,216,58.470,183
Nycol.H00870.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",4.30e-86,249,56.225,249
Nycol.I00043.1.p,AT4G18960.1,AG,2.96e-98,279,61.864,236
Nycol.I00993.1.p,AT4G37940.1,AGL21,7.28e-86,247,57.759,232
Nycol.I01691.1.p,AT2G45650.1,"AGL6, RSB1",3.08e-110,310,63.241,253
Nycol.I01697.1.p,AT2G45660.1,"AGL20, SOC1, ATSOC1",7.13e-81,233,60.190,211
Nycol.I01732.1.p,AT3G54340.1,"AP3, ATAP3",3.42e-53,164,42.922,219
Nycol.M00404.1.p,AT5G13790.2,AGL15,7.88e-68,203,50.628,239
