Species_Gene_ID,Homologous_Arabidopsis_Symbol,Top_Arabidopsis_Hit,E-value,Bit-score,%_Identity,Alignment_Length
Prupe.1G223600.1.p,AT1G24260.2,"AGL9, SEP3",2.77e-130,361,77.733,247
Prupe.1G276600.1.p,AT2G03060.2,AGL30,2.33e-125,358,52.618,382
Prupe.1G276600.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G276600.5.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G276600.6.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G290500.1.p,AT3G02310.1,"AGL4, SEP2",2.73e-89,257,55.556,252
Prupe.1G290600.1.p,AT1G69120.1,"AP1, AtAP1, AGL7",1.91e-118,331,66.537,257
Prupe.1G371300.1.p,AT3G54340.1,"AP3, ATAP3",2.23e-81,234,60.000,205
Prupe.1G371300.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G371300.3.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G371300.4.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G371300.5.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G371300.6.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G371300.7.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G427500.1.p,AT1G22130.1,AGL104,9.86e-47,153,40.000,230
Prupe.1G489400.1.p,AT5G20240.1,PI,3.47e-92,261,60.952,210
Prupe.1G511300.1.p,AT1G22130.1,AGL104,1.75e-136,385,58.146,356
Prupe.1G531100.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",1.06e-69,211,48.988,247
Prupe.1G531100.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G531400.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",6.13e-66,197,48.387,248
Prupe.1G531600.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",5.81e-67,199,47.951,244
Prupe.1G531700.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",3.43e-69,205,48.770,244
Prupe.1G548000.1.p,AT1G71692.1,"XAL1, AGL12",1.06e-82,237,61.502,213
Prupe.1G548000.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G549600.1.p,AT4G09960.4,"STK, AGL11",9.43e-117,329,72.881,236
Prupe.1G549600.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.1G549600.3.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.2G023100.1.p,AT5G13790.2,AGL15,7.49e-94,270,57.028,249
Prupe.2G023100.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.2G151000.1.p,AT2G45650.1,"AGL6, RSB1",2.73e-115,323,65.882,255
Prupe.2G151200.1.p,AT2G45660.1,"AGL20, SOC1, ATSOC1",3.44e-99,280,72.038,211
Prupe.2G151200.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.2G287000.1.p,AT2G45650.1,"AGL6, RSB1",9.12e-71,210,55.924,211
Prupe.2G287500.1.p,AT5G62165.2,"AGL42, FYF",3.83e-84,241,61.187,219
Prupe.3G170600.1.p,AT2G42830.2,"AGL5, SHP2",5.84e-118,330,69.478,249
Prupe.3G249300.1.p,AT1G69120.1,"AP1, AtAP1, AGL7",7.88e-87,254,70.455,176
Prupe.3G249300.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.3G249300.3.p,No Match,N/A,N/A,N/A,N/A,N/A
