# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  PF00847.AP2.hmm
# target sequence database:        NIPGR-Plants/Nelumbo_nucifera/protein.faa
# per-dom hits tabular output:     NIPGR_WORK/Nelumbo_nucifera/Nelumbo_nucifera_AP2.domtblout
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       AP2  [M=54]
Accession:   PF00847.25
Description: AP2 domain
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence       Description
    ------- ------ -----    ------- ------ -----   ---- --  --------       -----------
    1.7e-23   83.7  13.6    1.4e-11   45.6   4.6    2.3  2  XP_010246586.1  PREDICTED: AP2-like ethylene-responsive trans
      2e-23   83.5  10.4    8.1e-12   46.3   4.1    2.4  2  XP_010254562.1  PREDICTED: AP2-like ethylene-responsive trans
      2e-23   83.5  10.4    8.1e-12   46.3   4.1    2.4  2  XP_019053013.1  PREDICTED: AP2-like ethylene-responsive trans
    1.7e-22   80.5  10.2      8e-11   43.1   4.0    2.4  2  XP_010277520.1  PREDICTED: AP2-like ethylene-responsive trans
    1.7e-22   80.5  10.2      8e-11   43.1   4.0    2.4  2  XP_019055717.1  PREDICTED: AP2-like ethylene-responsive trans
    1.8e-22   80.4  13.4    6.9e-11   43.3   2.2    2.4  2  XP_010268477.1  PREDICTED: AP2-like ethylene-responsive trans
    6.3e-22   78.7  10.7    8.6e-11   43.0   1.7    2.6  2  XP_010251652.1  PREDICTED: ethylene-responsive transcription 
    1.4e-21   77.5  12.1    1.3e-11   45.6   3.4    2.7  2  XP_010261924.1  PREDICTED: AP2-like ethylene-responsive trans
    1.4e-21   77.5  12.7    1.3e-11   45.7   4.0    2.7  2  XP_010273924.1  PREDICTED: AP2-like ethylene-responsive trans
    1.6e-21   77.4   9.9    2.4e-11   44.8   3.8    2.5  2  XP_010265446.1  PREDICTED: AP2-like ethylene-responsive trans
    1.8e-21   77.2  10.1    6.6e-11   43.4   4.7    2.8  2  XP_010257262.1  PREDICTED: AP2-like ethylene-responsive trans
    2.3e-21   76.9  10.1    6.4e-11   43.4   4.7    2.5  2  XP_010279008.1  PREDICTED: AP2-like ethylene-responsive trans
    3.3e-21   76.4  10.0      8e-11   43.1   4.7    2.5  2  XP_010241511.1  PREDICTED: AP2-like ethylene-responsive trans
    7.1e-21   75.3   9.4      1e-09   39.6   3.0    2.5  2  XP_010270526.1  PREDICTED: floral homeotic protein APETALA 2 
    7.2e-21   75.3   9.4      1e-09   39.6   3.0    2.5  2  XP_010270518.1  PREDICTED: floral homeotic protein APETALA 2 
    7.7e-21   75.2   9.4      1e-09   39.5   3.0    2.5  2  XP_010270509.1  PREDICTED: floral homeotic protein APETALA 2 
