Medicago_Gene_ID	Top_AT_Hit	E-value	Bit-score
LOC_Os01g10504.1	AT4G18960.1	2.2e-104	297.0
LOC_Os01g52680.1	AT5G60910.1	7.95e-33	110.0
LOC_Os01g66030.1	AT5G20240.1	1.22e-75	219.0
LOC_Os01g66290.1	AT4G18960.1	1.45e-94	271.0
LOC_Os02g01355.1	AT2G45660.1	1.08e-64	194.0
LOC_Os02g01365.1	AT2G45660.1	1.23e-60	191.0
LOC_Os02g07430.1	AT5G23260.4	8.58e-53	165.0
LOC_Os02g36924.1	AT3G57230.1	2.63e-103	292.0
LOC_Os02g45770.1	AT2G45650.1	2.02e-102	291.0
LOC_Os02g49840.1	AT3G57230.1	7.51e-90	258.0
LOC_Os02g52340.1	AT2G22540.1	2.58e-80	233.0
LOC_Os03g08754.1	AT2G22540.1	3.35e-81	236.0
LOC_Os03g11614.1	AT3G02310.1	1.11e-79	233.0
LOC_Os03g54160.1	AT1G69120.1	1.45e-89	258.0
LOC_Os03g54170.1	AT3G02310.1	8.23e-77	225.0
LOC_Os04g23910.1	AT3G57230.1	4.68e-81	235.0
LOC_Os04g31804.1	AT3G30260.1	3.65e-20	79.0
LOC_Os04g49150.1	AT2G45650.1	1.73e-93	268.0
LOC_Os04g52410.2	AT5G23260.4	2.31e-45	145.0
LOC_Os05g11380.1	AT4G18960.1	9.63e-58	173.0
LOC_Os05g11414.1	AT4G18960.1	3.91e-95	274.0
LOC_Os05g34940.1	AT5G20240.1	2.85e-73	214.0
LOC_Os06g01890.1	AT2G45660.1	5.64e-50	154.0
LOC_Os06g06750.1	AT1G24260.2	2.3e-77	226.0
LOC_Os06g11330.1	AT2G22540.1	1.29e-69	205.0
LOC_Os06g45650.1	AT5G23260.4	4.07e-45	144.0
LOC_Os06g49840.1	AT3G54340.1	6.18e-67	199.0
LOC_Os07g01820.1	AT1G69120.1	3.03e-79	234.0
LOC_Os07g41370.1	AT5G60910.1	7.19e-84	243.0
LOC_Os08g02070.1	AT1G71692.1	3.38e-64	191.0
LOC_Os08g33488.1	AT4G37940.1	1.86e-74	215.0
LOC_Os08g41950.1	AT1G24260.2	5.42e-86	251.0
LOC_Os08g41960.1	AT2G03710.1	3.05e-31	106.0
LOC_Os09g32948.1	AT1G24260.2	2.6e-94	270.0
LOC_Os10g39130.1	AT4G22950.1	2.74e-70	207.0
LOC_Os11g43740.1	AT1G18750.3	2.86e-83	253.0
LOC_Os12g10520.1	AT1G71692.1	5.92e-62	184.0
LOC_Os12g10540.3	AT4G18960.1	7.13e-87	252.0
LOC_Os12g31748.2	AT5G60910.1	2.56e-67	201.0
