Medicago_Gene_ID	Top_AT_Hit	E-value	Bit-score
HanXRQChr00c0029g0571181	AT1G24260.2	7.1e-93	266.0
HanXRQChr01g0007431	AT4G18960.1	3.09e-115	325.0
HanXRQChr01g0015681	AT5G13790.2	2.75e-58	179.0
HanXRQChr02g0040221	AT5G20240.1	5.67e-79	227.0
HanXRQChr02g0042981	AT3G02310.1	5.88e-95	271.0
HanXRQChr02g0043891	AT1G69120.1	1.66e-92	266.0
HanXRQChr02g0045511	AT5G20240.1	1.02e-84	242.0
HanXRQChr03g0091451	AT1G22130.1	2.25e-67	207.0
HanXRQChr04g0110101	AT5G60910.1	1.06e-89	258.0
HanXRQChr04g0122131	AT2G45660.1	3.12e-87	249.0
HanXRQChr05g0147261	AT4G18960.1	4.69e-115	323.0
HanXRQChr05g0149341	AT5G23260.4	1.31e-72	216.0
HanXRQChr05g0150571	AT1G22130.1	1.26e-50	164.0
HanXRQChr05g0150661	AT4G09960.4	8.56e-75	222.0
HanXRQChr05g0151331	AT3G54340.1	2.68e-92	264.0
HanXRQChr05g0154261	AT5G60910.1	2.92e-87	251.0
HanXRQChr05g0156101	AT1G18750.3	5.88e-94	282.0
HanXRQChr05g0163381	AT2G22540.1	1.3e-83	245.0
HanXRQChr05g0163521	AT3G57230.1	4.82e-103	291.0
HanXRQChr06g0169281	AT2G45660.1	1.42e-77	224.0
HanXRQChr06g0174721	AT1G24260.2	1.96e-117	328.0
HanXRQChr07g0200001	AT5G60910.1	4.28e-93	266.0
HanXRQChr07g0200321	AT3G02310.1	8.12e-108	305.0
HanXRQChr08g0223671	AT2G03710.1	4.39e-76	221.0
HanXRQChr08g0223681	AT1G69120.1	8.64e-107	302.0
HanXRQChr09g0262151	AT4G37940.1	5.65e-81	233.0
HanXRQChr09g0265001	AT3G02310.1	1.14e-107	304.0
HanXRQChr09g0266391	AT4G09960.4	7.35e-96	278.0
HanXRQChr09g0267081	AT1G71692.1	1.82e-74	216.0
HanXRQChr09g0269421	AT3G54340.1	3.45e-90	258.0
HanXRQChr09g0270311	AT5G60910.1	1.48e-79	234.0
HanXRQChr09g0270841	AT2G22540.1	3.06e-65	195.0
HanXRQChr09g0273361	AT1G26310.1	5.47e-46	145.0
HanXRQChr10g0291191	AT4G37940.1	7.69e-92	262.0
HanXRQChr10g0299591	AT3G57390.1	1.16e-49	157.0
HanXRQChr12g0358711	AT2G45650.1	1.12e-104	296.0
HanXRQChr12g0358721	AT2G45660.1	4.52e-71	208.0
HanXRQChr12g0358781	AT5G20240.1	8.24e-88	250.0
HanXRQChr12g0361321	AT1G24260.2	2.89e-118	331.0
HanXRQChr12g0364981	AT1G69120.1	1.48e-104	296.0
HanXRQChr12g0375471	AT5G65050.3	4.27e-41	131.0
HanXRQChr13g0405061	AT2G22540.1	3.83e-106	299.0
HanXRQChr14g0452461	AT5G60910.1	8.66e-94	268.0
HanXRQChr15g0474011	AT4G37940.1	3.09e-67	196.0
HanXRQChr15g0483111	AT1G22130.1	4.69e-48	156.0
HanXRQChr15g0484901	AT2G22540.1	4.17e-83	241.0
HanXRQChr15g0489071	AT3G02310.1	1.11e-105	299.0
HanXRQChr15g0495861	AT2G22540.1	6.64e-90	258.0
HanXRQChr16g0501381	AT3G54340.1	2.81e-89	256.0
HanXRQChr16g0501741	AT3G54340.1	2.81e-89	256.0
HanXRQChr16g0503081	AT2G22540.1	1.27e-60	183.0
HanXRQChr16g0507561	AT5G60910.1	3.59e-86	248.0
HanXRQChr16g0519321	AT4G18960.1	2.63e-123	343.0
HanXRQChr16g0523531	AT2G45660.1	2.6e-80	232.0
HanXRQChr16g0530971	AT3G54340.1	6.17e-70	206.0
HanXRQChr17g0538691	AT5G65060.1	5.38e-44	139.0
HanXRQChr17g0550551	AT5G65050.3	4.07e-45	140.0
HanXRQChr17g0560051	AT2G45660.1	2.16e-81	234.0
